time,seconds_elapsed,z,y,x
1681320647643985700,0.030985595703125,-0.13577274453639984,-0.17100151350162923,-0.049183608026988804
1681320647653955600,0.04095556640625,-0.16246902828216553,-0.15858159238956868,-0.02246229943782091
1681320647663925800,0.05092578125,-0.21338731461465357,-0.17511647453978657,0.02186707349102944
1681320647673896000,0.06089599609375,-0.15327508347928523,-0.18647585374824702,-0.004367072635702789
1681320647683865900,0.070865966796875,-0.09944529361426829,-0.12913279506526887,-0.08292235763017088
1681320647693835800,0.080835693359375,-0.08141863853633403,-0.1056932480931282,-0.14419592416249213
1681320647703806000,0.090805908203125,-0.05734510450959205,-0.12288381767310201,-0.1592163466291502
1681320647713775900,0.10077587890625,0.003317746245861053,-0.1213006401348859,-0.1931442986615002
1681320647723745800,0.110745849609375,0.037649054914712904,-0.08213906176537275,-0.23243892882615327
1681320647733715700,0.1207158203125,0.04508709596097469,-0.10559658278562128,-0.20353826690390706
1681320647743685600,0.130685546875,0.11995032150447368,-0.19442747033983468,-0.15471866988372057
1681320647753655800,0.14065576171875,0.10199906975030898,-0.1988548583280295,-0.14810685052853076
1681320647763626000,0.1506259765625,0.07385726337134838,-0.1330167238265276,-0.18333364673238248
1681320647773596000,0.160595947265625,0.10768588321506976,-0.11410532180331646,-0.1969557467084378
1681320647783565800,0.17056591796875,0.07398878079652786,-0.11563187378346919,-0.17185484239533544
1681320647793535700,0.18053564453125,0.010082418075203894,-0.07765877454616128,-0.12152648478001356
1681320647803504600,0.190504638671875,0.04278524875938892,-0.04945157478079199,-0.10613715593572705
1681320647813474800,0.200474853515625,0.07586977223753928,-0.060240095298737285,-0.09007328883074224
1681320647823444700,0.21044482421875,0.1465489900946617,-0.11839067097231745,-0.10417626765891909
1681320647833415000,0.220414794921875,0.2275590478301048,-0.17010514918379485,-0.23311080020572988
1681320647843384800,0.230384765625,0.031416298004984855,-0.17343129793182013,-0.3076885233387351
1681320647853355000,0.24035498046875,-0.1310153208762407,-0.17234036088995636,-0.2355012755388394
1681320647863325000,0.250324951171875,-0.1064905359506607,-0.11032996798306703,-0.12174535169508308
1681320647873294800,0.260294921875,0.07975918089151382,-0.04240085255168378,-0.04709938563145697
1681320647883264800,0.2702646484375,0.14614099381566048,-0.03585910275802016,-0.00140749217774719
1681320647893234700,0.280234619140625,0.06903378873765469,-0.03880370484255254,-0.051050644007883964
1681320647903204900,0.290204833984375,0.00994447090923786,-0.01724872950799763,-0.07911796037852764
1681320647913174800,0.3001748046875,-0.13191314649879932,-0.01120484623387456,-0.07027312127426266
1681320647923144700,0.310144775390625,-0.21502222234010696,-0.01591974592655897,-0.1171306244412437
1681320647933115000,0.320114990234375,-0.12049158877432346,-0.01090856670103967,-0.22137111644279212
1681320647943084800,0.330084716796875,-0.22063830865621564,0.029062866746634244,-0.3262474586624652
1681320647953055000,0.340054931640625,-0.3974392291516065,0.06836589941345154,-0.3275558378472924
1681320647963025000,0.35002490234375,-0.3563648759633303,-0.005265592378005385,-0.26667181862182915
1681320647972994800,0.359994873046875,-0.28423838190734385,-0.10767039338499307,-0.224232022299245
1681320647982964700,0.36996484375,-0.25158698914945127,-0.1618108566343784,-0.19398959037922323
1681320647992933600,0.37993359375,-0.21910393869578837,-0.22452961700633167,-0.12294405996035784
1681320648002903800,0.38990380859375,-0.1787345189064741,-0.3119417968690395,-0.046140185210481285
1681320648012874000,0.3998740234375,-0.2578326055407524,-0.38509412684142585,-0.009565189268067478
1681320648022844000,0.409843994140625,-0.39054128633141516,-0.3817040460117161,-0.008262399573810399
1681320648032813800,0.419813720703125,-0.4739864622592926,-0.37532932334803043,-0.04984861127436161
1681320648042783700,0.42978369140625,-0.5307184033066034,-0.42569041418917475,-0.11271101790070533
1681320648052754000,0.43975390625,-0.5459001903474331,-0.502336869887635,-0.25007760749980806
1681320648062723800,0.449723876953125,-0.6793243259310722,-0.5870819494329392,-0.3481826289536431
1681320648072693800,0.45969384765625,-0.9112696260213852,-0.7166685526803136,-0.4253487611446529
1681320648082663700,0.46966357421875,-0.9570295066773891,-0.8435351563792676,-0.5551801329333335
1681320648092633600,0.479633544921875,-0.8053121740341186,-0.7546972545623779,-0.560256559414789
1681320648102604000,0.48960400390625,-0.5873381161510944,-0.2507967886198312,-0.28110994768850506
1681320648112574000,0.499573974609375,-0.9318547334104775,-0.2071847336474806,-0.31833325147181746
1681320648122543900,0.5095439453125,-1.273524729067087,-0.7331845839995891,-0.29722492392621935
1681320648132513800,0.519513671875,-1.1821984445005655,-1.0533386942230165,-0.2004115862507373
1681320648142483700,0.529483642578125,-1.194444762611389,-0.9351343396030366,-0.07414145060759038
1681320648152454000,0.539453857421875,-1.1000573369085789,-0.7024887822888791,-0.02824011565428227
1681320648162423800,0.549423828125,-0.9326812473624944,-0.6823330062277615,-0.09936223670700564
1681320648172393700,0.559393798828125,-1.2666904991328716,-0.6952358885511756,-0.22873994644405318
1681320648182363600,0.56936376953125,-1.914824152508378,-0.8640292244840413,-0.23892690260596572
1681320648192332800,0.579332763671875,-2.318907641980052,-1.0671895249210297,-0.19547677846336736
1681320648202303000,0.589302978515625,-2.2400877877652645,-0.9818924375161528,-0.1401731166535057
1681320648212273000,0.59927294921875,-2.00829387884438,-0.742151734309271,-0.22234982528183608
1681320648222242800,0.609242919921875,-2.027050601762533,-0.6039185910087078,-0.2997513736639172
1681320648232212700,0.619212646484375,-2.176048154053092,-0.538254461367242,-0.3197875784659758
1681320648242182700,0.6291826171875,-2.220563587605953,-0.4343297207839787,-0.3651218906536698
