time,seconds_elapsed,z,y,x
1681320658929946400,0.0359462890625,-0.26481530403494835,-0.17071078692674635,0.6006343817062676
1681320658939916500,0.04591650390625,-0.47697629172503947,-0.08742781582325697,0.7059755284260958
1681320658949886500,0.055886474609375,-0.5705243439942598,0.029987141984701156,0.6459623737510294
1681320658959856400,0.0658564453125,-0.30805005012750625,0.18491203849762677,0.4081839835930615
1681320658969826600,0.07582666015625,0.3489689204931259,0.6932192880317568,-0.003852583774924278
1681320658979796500,0.08579638671875,0.7040671375215053,0.7139025950983167,-0.35018494521938265
1681320658989766700,0.0957666015625,0.5766255834788083,0.39612405489981173,-0.3292179258406162
1681320658999736600,0.105736572265625,0.08893442099392414,0.2470297642365098,-0.09943047963762655
1681320659009706500,0.11570654296875,-0.3407306689798832,0.2020560655221343,0.14104776232987642
1681320659019676400,0.125676513671875,-0.5474497578769922,0.21234102043211459,0.2821751657672226
1681320659029646600,0.135646484375,-0.5523246704369783,0.18381635221540926,0.3636793636951595
1681320659039616500,0.145616455078125,-0.37903263484537597,0.07333119367063046,0.376093366523087
1681320659049586400,0.15558642578125,-0.10235504358112811,-0.08999941987693309,0.3223056622341275
1681320659059556600,0.165556640625,0.01774316196143627,-0.2079395706027746,0.28029790065325794
1681320659069526500,0.175526611328125,-0.08035130156576634,-0.22609365145266055,0.2953220859795809
1681320659079496700,0.18549658203125,0.03332651554048061,-0.03999678708463907,0.3173579766988754
1681320659089466600,0.195466552734375,0.20429975279569626,0.4015624465614557,0.3557591651551425
1681320659099436500,0.2054365234375,0.07957973267138004,0.15023323156535626,0.2568050891239196
1681320659109406500,0.215406494140625,0.05575169783830643,-0.3221490103676915,0.16304514766968786
1681320659119376400,0.22537646484375,0.12272796952426433,0.003458323760330677,0.34001294916458424
1681320659129346600,0.2353466796875,0.008078092515468597,0.32133535589724777,0.4116792783629149
1681320659139316500,0.24531640625,-0.04503331994712353,-0.07314443892687558,0.014909381573926657
1681320659149286400,0.255286376953125,0.22837094873487948,-0.3061170362383127,-0.3470345914296806
1681320659159256600,0.265256591796875,0.32174422895908356,-0.1445142693966627,-0.47584955271743234
1681320659169226800,0.275226806640625,0.017004910814762113,0.04390197782963514,-0.37966914265062657
1681320659179196700,0.28519677734375,-0.20881635343730448,0.23119886563718317,-0.23150939289107916
1681320659189166600,0.29516650390625,-0.28317864372134205,0.19723522123694417,-0.1604773430082947
1681320659199136500,0.305136474609375,-0.34525077675282956,-0.10326558255478739,-0.20902740237209944
1681320659209106400,0.3151064453125,-0.2430973932236433,-0.3349129226118326,-0.26106731314565984
1681320659219076600,0.32507666015625,-0.04360299488306045,-0.28254005355685946,-0.24467969397902486
1681320659229046500,0.335046630859375,0.012852467310428618,-0.07051160620525479,-0.20983356765583155
1681320659239016400,0.345016357421875,0.11568623431921005,0.08036722978726028,-0.18576858226172624
1681320659248986400,0.354986328125,0.2607780113428831,0.08731003466248512,-0.1653555435039103
1681320659258956500,0.36495654296875,0.27691782976090906,0.01766498215869069,-0.19209142860770223
1681320659268926700,0.3749267578125,0.25417525207698344,-0.051361792316287756,-0.19694405627064407
1681320659278896600,0.384896728515625,0.3179389914572239,-0.10274886520430446,-0.142810972610116
1681320659288866600,0.394866455078125,0.4060895685970783,-0.12514759788662194,-0.0791109461158514
1681320659298836500,0.40483642578125,0.41446050657927985,-0.11099033158794044,-0.043012846970185634
1681320659308806400,0.414806396484375,0.3941179757744074,-0.01871332216784358,-0.11361118161082268
1681320659318776600,0.424776611328125,0.38645489380061626,0.10415157160907983,-0.17112338631562887
1681320659328746500,0.43474658203125,0.27303192823827266,0.19717282352522014,-0.18089651924595235
1681320659338716400,0.44471630859375,0.14584581026136875,0.22294760851189493,-0.17151413919888436
1681320659348686300,0.454686279296875,0.0817559076666832,0.2117828020274639,-0.11257343606092035
1681320659358656800,0.46465673828125,0.038490766435861586,0.17736235377043486,-0.03868000539764762
1681320659368626700,0.474626708984375,0.06374561920166015,0.16882935709431768,-0.051825172044336794
1681320659378596600,0.4845966796875,0.059821139234304425,0.18228432034254072,-0.0591033463537693
1681320659388566500,0.49456640625,0.00007949497699737548,0.16614844744727014,-0.04788951309584081
1681320659398536400,0.504536376953125,-0.00040741175711154934,0.11944836333170533,-0.011854469249024986
1681320659408506600,0.514506591796875,-0.051805006039142606,0.09308291897550225,0.021236849296092986
1681320659418476500,0.5244765625,-0.17421791826486588,0.11229235409721731,-0.022222207071632145
1681320659428446500,0.534446533203125,-0.16212825202047823,0.13724573969841003,-0.02025361041240394
1681320659438416400,0.54441650390625,-0.08843640834391117,0.12806056272387503,0.030624855366349218
1681320659448386300,0.55438623046875,-0.06407061337232589,0.13426599323526023,0.048256885103508826
1681320659458356700,0.564356689453125,-0.003949614408612251,0.10815730011910199,0.0344815307945013
1681320659468326700,0.57432666015625,0.06014964053630829,0.07246946227476,0.04727583817690611
1681320659478296600,0.584296630859375,0.022412907338142395,0.04495981631949544,0.048372985763847826
1681320659488266500,0.5942666015625,0.04624970999956131,0.05444514528438449,0.014350596913695335
1681320659498236400,0.604236328125,0.0768318952679634,0.06833616186231374,0.013767682459205389
1681320659508206600,0.61420654296875,0.053390229403972624,0.06430588343292475,0.031638489388301966
1681320659518176500,0.624176513671875,0.039002807611227035,0.07886135526895523,0.028910306533426043
1681320659528146400,0.634146484375,0.08075403714776039,0.07696648143306374,0.032554435189440845
1681320659538116400,0.644116455078125,0.09595452888906002,0.0913118176497519,0.02889657026901841
1681320659548086500,0.65408642578125,0.022760113340616225,0.1125292315930128,0.005660071588307619
